2022-02-18T16-04-21,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,02/16/2022 12:00:00 AM,,40,0,02/16/2022 12:00:00 AM
2022-05-16T05-54-24,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
2022-05-19T05-25-31,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-22T09-07-10,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,48,05/23/2022 12:00:00 AM
