2022-02-18T16-04-21,77014,KELSEY-SEYBOLD INFUSION PHARMACY,02/15/2022 12:00:00 AM,,40,,
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,40,05/18/2022 12:00:00 AM
