2022-02-18T16-04-21,57117,SANFORD USD MEDICAL CENTER,02/14/2022 12:00:00 AM,,30,,
2022-05-11T06-51-12,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-12T07-16-49,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-13T06-07-31,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-14T08-49-14,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-15T05-54-13,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-16T05-54-24,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-17T05-27-38,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-18T05-40-23,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-19T05-25-31,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-20T05-59-40,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-21T05-54-21,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-22T09-07-10,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-24T05-46-03,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-25T05-39-27,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-26T07-59-29,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-26T07-59-29,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-26T07-59-29,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-27T05-48-57,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-28T05-34-18,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-29T05-31-58,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-30T05-32-42,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-31T08-56-01,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-06-01T05-37-50,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-06-02T07-54-10,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-06-03T08-50-11,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-06-04T19-11-08,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-06-05T08-48-25,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-06-06T06-32-51,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
