2022-03-03T09-56-49,28546,STARMED HEALTHCARE - JACKSONVILLE,02/23/2022 12:00:00 AM,,90,,
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-24T05-46-03,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-25T05-39-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
