2022-02-18T16-04-21,11432,NYC HEALTH + HOSPITALS/QUEENS,02/17/2022 12:00:00 AM,,50,,
2022-04-12T07-06-55,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-13T09-20-57,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-13T11-55-39,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-14T09-18-06,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-15T06-03-51,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-16T05-33-42,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-17T05-32-24,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-18T05-31-10,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-19T05-39-24,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-20T05-27-37,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-21T05-29-54,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-22T05-26-18,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-23T05-25-10,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-24T05-22-24,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-25T05-22-33,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-26T05-20-54,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-27T05-23-49,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-28T09-22-45,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-29T05-13-54,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-30T05-15-55,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-05-01T05-13-51,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-05-02T06-02-50,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-05-03T06-05-23,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-05-04T05-12-02,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-05-05T09-49-47,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-05-06T06-12-41,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-05-07T05-45-31,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-12T07-16-49,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-13T06-07-31,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-14T08-49-14,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-15T05-54-13,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-16T05-54-24,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-17T05-27-38,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-18T05-40-23,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-19T05-25-31,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-20T05-59-40,11432,Caretender LLC,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-06-17T04-15-27,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
2022-06-23T04-15-16,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
2022-06-24T04-15-26,11432,NYC HEALTH + HOSPITALS/QUEENS,NLP,NLP,NLP,44,06/16/2022 12:00:00 AM
