2022-03-08T14-40-56,04543,LINCOLNHEALTH,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,20,,
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,04543,LINCOLNHEALTH,NLP,NLP,NLP,34,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,04543,LINCOLNHEALTH,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,04543,LINCOLNHEALTH,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,04543,LINCOLNHEALTH,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,04543,LINCOLNHEALTH,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,04543,LINCOLNHEALTH,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
