2022-02-18T16-04-21,56183,SANFORD WESTBROOK HOSPITAL,02/18/2022 12:00:00 AM,,15,,
2022-04-15T06-03-51,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-16T05-33-42,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-17T05-32-24,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-18T05-31-10,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-19T05-39-24,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-20T05-27-37,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-21T05-29-54,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-22T05-26-18,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-23T05-25-10,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-24T05-22-24,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-05-06T06-12-41,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-11T06-51-12,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-12T07-16-49,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-13T06-07-31,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-14T08-49-14,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-15T05-54-13,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-16T05-54-24,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-17T05-27-38,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-18T05-40-23,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-19T05-25-31,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-20T05-59-40,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-06-01T05-37-50,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,24,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,24,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,24,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,24,05/31/2022 12:00:00 AM
2022-06-05T08-48-25,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,24,05/31/2022 12:00:00 AM
