2022-02-18T16-04-21,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/16/2022 12:00:00 AM,,5,,
2022-03-26T12-42-50,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-05T05-48-33,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-06T05-45-18,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-07T05-34-07,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-07T05-34-07,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-08T05-48-29,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-09T05-41-09,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-10T09-31-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-11T07-06-23,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-12T07-06-55,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-13T09-20-57,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-13T11-55-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-14T09-18-06,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-14T09-18-06,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,7,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-15T06-03-51,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-16T05-33-42,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-17T05-32-24,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-18T05-31-10,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-19T05-39-24,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,11,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-20T05-27-37,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,11,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-21T05-29-54,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,11,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-22T05-26-18,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,11,04/18/2022 12:00:00 AM
2022-04-23T05-25-10,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-23T05-25-10,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,11,04/18/2022 12:00:00 AM
2022-04-24T05-22-24,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-24T05-22-24,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,11,04/18/2022 12:00:00 AM
2022-04-25T05-22-33,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-25T05-22-33,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,11,04/18/2022 12:00:00 AM
2022-04-26T05-20-54,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-26T05-20-54,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,21,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-27T05-23-49,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-28T09-22-45,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-29T05-13-54,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-04-30T05-15-55,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-01T05-13-51,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-05-02T06-02-50,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-02T06-02-50,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-05-03T06-05-23,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-03T06-05-23,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-05-04T05-12-02,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-04T05-12-02,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,18,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-05T09-49-47,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,18,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-06T06-12-41,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,18,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-07T05-45-31,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-08T10-02-59,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-12T07-16-49,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/11/2022 12:00:00 AM
2022-05-15T05-54-13,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/11/2022 12:00:00 AM
2022-05-18T05-40-23,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-18T05-40-23,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,26,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-19T05-25-31,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,26,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-20T05-59-40,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,26,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-21T05-54-21,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-22T09-07-10,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-24T05-46-03,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
