2022-02-18T16-04-21,34982,MIDWAY SPECIALTY CARE - FT PIERCE,02/17/2022 12:00:00 AM,,50,0,02/16/2022 12:00:00 AM
2022-04-10T09-31-27,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-11T07-06-23,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-12T07-06-55,34982,Midway Specialty Care Center,NLP,NLP,NLP,54,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,34982,Midway Specialty Care Center,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,34982,Midway Specialty Care Center,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,34982,Midway Specialty Care Center,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-21T05-29-54,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-22T05-26-18,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-23T05-25-10,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-24T05-22-24,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-25T05-22-33,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-26T05-20-54,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-27T05-23-49,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-28T09-22-45,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-04-29T05-13-54,34982,Midway Specialty Care Center,NLP,NLP,NLP,51,04/15/2022 12:00:00 AM
2022-06-25T04-15-18,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-06-29T04-15-40,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-06-30T04-15-32,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-01T04-15-22,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-03T14-40-38,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-04T04-15-29,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-05T04-15-18,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-06T04-15-19,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-07T04-15-17,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-07T13-15-18,34982,Midway Specialty Care Center,NLP,NLP,NLP,15,06/24/2022 12:00:00 AM
2022-07-08T04-15-19,34982,Midway Specialty Care Center,NLP,NLP,NLP,29,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,34982,Midway Specialty Care Center,NLP,NLP,NLP,29,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,34982,Midway Specialty Care Center,NLP,NLP,NLP,29,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,34982,Midway Specialty Care Center,NLP,NLP,NLP,29,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/11/2022 12:00:00 AM
2022-07-17T04-15-18,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,34982,Midway Specialty Care Center,NLP,NLP,NLP,22,07/14/2022 12:00:00 AM
