2022-02-18T16-04-21,45804,LIMA MEMORIAL HEALTH SYSTEM,02/16/2022 12:00:00 AM,,10,0,02/16/2022 12:00:00 AM
2022-04-15T06-03-51,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-18T05-31-10,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-19T05-39-24,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-23T05-25-10,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-24T05-22-24,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-25T05-22-33,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-26T05-20-54,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-01T05-13-51,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-02T06-02-50,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-03T06-05-23,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-04T05-12-02,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-05T09-49-47,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-06T06-12-41,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-07T05-45-31,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-08T10-02-59,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-09T05-08-14,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-05-14T08-49-14,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,15,05/24/2022 12:00:00 AM
