2022-03-08T14-40-56,22042,INOVA FAIRFAX HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,50,50,03/07/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,239,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,209,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,163,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,163,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,163,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,126,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,126,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,126,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,126,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,126,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,328,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,245,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,245,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,224,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,224,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,224,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,315,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,278,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,251,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,218,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,356,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,356,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,356,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,356,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,303,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,257,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,313,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,232,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,232,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,205,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,270,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,270,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,270,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,270,06/23/2022 12:00:00 AM
2022-06-28T04-15-44,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,270,06/23/2022 12:00:00 AM
2022-06-29T04-15-40,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,183,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,152,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,249,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,249,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,249,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,249,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,191,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,153,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,153,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,259,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,259,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,259,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,259,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,192,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,192,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,121,07/13/2022 12:00:00 AM
2022-07-15T04-15-46,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,121,07/13/2022 12:00:00 AM
2022-07-17T04-15-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,201,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,201,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,201,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,155,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,155,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,155,07/18/2022 12:00:00 AM
