2022-02-18T16-04-21,71263,WEST CARROLL MEMORIAL HOSPITAL,02/14/2022 12:00:00 AM,,5,4,02/18/2022 12:00:00 AM
2022-03-25T08-10-53,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
2022-04-09T05-41-09,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-17T05-32-24,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-18T05-31-10,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-19T05-39-24,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/11/2022 12:00:00 AM
2022-04-20T05-27-37,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/19/2022 12:00:00 AM
