2022-02-18T16-04-21,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/14/2022 12:00:00 AM,,5,,
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,63,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,5,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,62,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,5,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,62,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,5,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,62,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,5,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,54,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,14,05/27/2022 12:00:00 AM
2022-05-28T05-34-18,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,79,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,79,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,14,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,14,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,79,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,79,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,14,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,14,05/31/2022 12:00:00 AM
2022-06-01T05-37-50,70601,LAKE CHARLES MEMORIAL HOSPITAL,NLP,NLP,NLP,72,05/31/2022 12:00:00 AM
