2022-02-18T16-04-21,66209,MENORAH MED CENTER,02/14/2022 12:00:00 AM,,5,,
2022-04-13T11-55-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-14T09-18-06,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-15T06-03-51,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-16T05-33-42,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-17T05-32-24,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-18T05-31-10,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-19T05-39-24,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-20T05-27-37,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-21T05-29-54,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-22T05-26-18,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-23T05-25-10,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-24T05-22-24,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-25T05-22-33,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-26T05-20-54,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-27T05-23-49,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-28T09-22-45,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-29T05-13-54,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-05-18T05-40-23,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66209,MENORAH MED CENTER,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
