2022-02-18T16-04-21,33872,ADVENTHEALTH-SEBRING,02/17/2022 12:00:00 AM,,5,,
2022-04-03T05-51-54,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-03T05-51-54,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-05T05-48-33,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-05T05-48-33,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-07T05-34-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-08T05-48-29,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-08T05-48-29,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-10T09-31-27,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-11T07-06-23,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-12T07-06-55,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-13T09-20-57,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-13T09-20-57,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-14T09-18-06,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-15T06-03-51,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-16T05-33-42,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-17T05-32-24,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-18T05-31-10,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-18T05-31-10,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-19T05-39-24,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-19T05-39-24,33872,AdventHealth Sebring,NLP,NLP,NLP,54,04/12/2022 12:00:00 AM
2022-04-20T05-27-37,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-21T05-29-54,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-21T05-29-54,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-22T05-26-18,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-23T05-25-10,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-25T05-22-33,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/19/2022 12:00:00 AM
2022-04-25T05-22-33,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-26T05-20-54,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-26T05-20-54,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/19/2022 12:00:00 AM
2022-04-27T05-23-49,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-05-02T06-02-50,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-05-03T06-05-23,33872,AdventHealth Sebring,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-05-04T05-12-02,33872,AdventHealth Sebring,NLP,NLP,NLP,36,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33872,AdventHealth Sebring,NLP,NLP,NLP,36,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,33872,AdventHealth Sebring,NLP,NLP,NLP,36,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,33872,AdventHealth Sebring,NLP,NLP,NLP,36,05/03/2022 12:00:00 AM
