2022-02-18T16-04-21,13676,Canton-Potsdam Hospital,02/17/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-04-01T06-54-45,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,95,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,93,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,92,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,92,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,92,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,92,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,90,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,90,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,87,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,87,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,87,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,87,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,95,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,95,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,95,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,95,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,94,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,94,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,94,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,94,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,94,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,94,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/05/2022 12:00:00 AM
2022-05-11T06-51-12,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/05/2022 12:00:00 AM
2022-05-12T07-16-49,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,93,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-05-28T05-34-18,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-05-29T05-31-58,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-05-30T05-32-42,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-05-31T08-56-01,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-06-01T05-37-50,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-06-02T07-54-10,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-06-03T08-50-11,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-06-04T19-11-08,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-06-05T08-48-25,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-06-06T06-32-51,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,83,05/25/2022 12:00:00 AM
2022-06-07T05-36-41,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/06/2022 12:00:00 AM
2022-06-10T04-15-36,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/10/2022 12:00:00 AM
2022-06-16T04-15-45,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,81,06/10/2022 12:00:00 AM
2022-06-17T04-15-27,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,80,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,80,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,80,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,80,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,80,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/22/2022 12:00:00 AM
2022-06-25T04-15-18,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/22/2022 12:00:00 AM
2022-06-26T04-15-17,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/22/2022 12:00:00 AM
2022-06-27T04-15-31,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/22/2022 12:00:00 AM
2022-06-28T04-15-44,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/29/2022 12:00:00 AM
2022-07-03T14-40-38,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/29/2022 12:00:00 AM
2022-07-04T04-15-29,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,06/29/2022 12:00:00 AM
2022-07-05T04-15-18,13676,CANTON-POTSDAM HOSPITAL,NLP,NLP,NLP,78,07/04/2022 12:00:00 AM
