2022-02-18T16-04-21,15425,Curtis Pharmacy- Connelsville,02/16/2022 12:00:00 AM,,50,,
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-28T05-34-18,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-06-05T08-48-25,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,60,06/04/2022 12:00:00 AM
2022-06-06T06-32-51,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,06/05/2022 12:00:00 AM
2022-06-07T05-36-41,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,5,06/06/2022 12:00:00 AM
