2022-02-18T16-04-21,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,02/17/2022 12:00:00 AM,,45,,
2022-03-25T08-10-53,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-26T12-42-50,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-27T06-25-27,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-28T06-21-17,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-29T08-50-48,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-30T09-27-07,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,205,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,205,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,224,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,224,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,224,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,218,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,165,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,165,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,163,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,158,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,158,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,158,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,158,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,147,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,146,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,145,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,179,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,179,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,179,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,179,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,174,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,174,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,174,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,166,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,164,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,164,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,164,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,164,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,153,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,120,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,120,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,120,05/04/2022 12:00:00 AM
2022-05-08T10-02-59,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,120,05/04/2022 12:00:00 AM
2022-05-09T05-08-14,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,120,05/04/2022 12:00:00 AM
2022-05-10T06-06-54,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,108,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,108,05/09/2022 12:00:00 AM
2022-05-12T07-16-49,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,180,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,173,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,172,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,172,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,172,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,164,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,162,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,162,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,162,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,118,05/20/2022 12:00:00 AM
