2022-02-18T16-04-21,35125,ASCENSION ST VINCENTS ST CLAIR,02/15/2022 12:00:00 AM,,5,,
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-06-02T07-54-10,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/01/2022 12:00:00 AM
2022-06-08T05-42-02,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
2022-06-15T04-15-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
2022-06-16T04-15-45,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/09/2022 12:00:00 AM
2022-06-17T04-15-27,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-25T04-15-18,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-26T04-15-17,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-27T04-15-31,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-28T04-15-44,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-29T04-15-40,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-06-30T04-15-32,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/21/2022 12:00:00 AM
2022-07-01T04-15-22,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,07/01/2022 12:00:00 AM
2022-07-05T04-15-18,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,07/01/2022 12:00:00 AM
2022-07-06T04-15-19,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,20,07/01/2022 12:00:00 AM
2022-07-07T04-15-17,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,14,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,14,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,14,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,14,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,14,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,14,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,12,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,12,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,35125,ASCENSION ST VINCENTS ST CLAIR,NLP,NLP,NLP,12,07/11/2022 12:00:00 AM
