2022-02-18T16-04-21,71465,HARDTNER MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-04-04T05-38-24,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-05T05-48-33,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-06T05-45-18,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-07T05-34-07,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-08T05-48-29,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-09T05-41-09,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-10T09-31-27,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-11T07-06-23,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-12T07-06-55,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-13T09-20-57,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-13T11-55-39,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-14T09-18-06,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-15T06-03-51,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-16T05-33-42,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-17T05-32-24,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-18T05-31-10,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-19T05-39-24,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-20T05-27-37,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-21T05-29-54,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-22T05-26-18,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-06-17T04-15-27,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-23T04-15-16,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-24T04-15-26,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-25T04-15-18,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-26T04-15-17,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-27T04-15-31,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-28T04-15-44,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,11,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,11,06/27/2022 12:00:00 AM
