2022-02-18T16-04-21,71832,De Queen Health and Wellness,02/16/2022 12:00:00 AM,,20,,
2022-03-31T15-09-22,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-01T06-54-45,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-01T06-54-45,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/02/2022 12:00:00 AM
2022-04-02T06-05-59,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-03T05-51-54,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-04T05-38-24,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-04T05-38-24,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/02/2022 12:00:00 AM
2022-04-05T05-48-33,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-05T05-48-33,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/06/2022 12:00:00 AM
2022-04-06T05-45-18,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-07T05-34-07,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/07/2022 12:00:00 AM
2022-04-07T05-34-07,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-08T05-48-29,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-08T05-48-29,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-10T09-31-27,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-11T07-06-23,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-12T07-06-55,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/13/2022 12:00:00 AM
2022-04-13T09-20-57,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-13T11-55-39,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-14T09-18-06,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/14/2022 12:00:00 AM
2022-04-14T09-18-06,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-15T06-03-51,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/15/2022 12:00:00 AM
2022-04-15T06-03-51,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-16T05-33-42,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-17T05-32-24,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-17T05-32-24,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-18T05-31-10,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,98,04/19/2022 12:00:00 AM
2022-04-19T05-39-24,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-20T05-27-37,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,98,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-21T05-29-54,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,98,04/21/2022 12:00:00 AM
2022-04-21T05-29-54,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-22T05-26-18,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,98,04/22/2022 12:00:00 AM
2022-04-22T05-26-18,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-23T05-25-10,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,98,04/23/2022 12:00:00 AM
2022-04-23T05-25-10,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-24T05-22-24,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,98,04/23/2022 12:00:00 AM
2022-04-24T05-22-24,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-25T05-22-33,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,98,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-26T05-20-54,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,04/26/2022 12:00:00 AM
2022-04-26T05-20-54,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-27T05-23-49,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-27T05-23-49,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-29T05-13-54,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-29T05-13-54,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-04-30T05-15-55,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,04/30/2022 12:00:00 AM
2022-05-03T06-05-23,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/06/2022 12:00:00 AM
2022-05-06T06-12-41,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/06/2022 12:00:00 AM
2022-05-06T06-12-41,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/04/2022 12:00:00 AM
2022-05-08T10-02-59,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/04/2022 12:00:00 AM
2022-05-09T05-08-14,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/10/2022 12:00:00 AM
2022-05-10T06-06-54,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/06/2022 12:00:00 AM
2022-05-12T07-16-49,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/12/2022 12:00:00 AM
2022-05-12T07-16-49,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/09/2022 12:00:00 AM
2022-05-13T06-07-31,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/09/2022 12:00:00 AM
2022-05-13T06-07-31,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/13/2022 12:00:00 AM
2022-05-13T06-07-31,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,71832,RANDY WALKER MD,NLP,NLP,NLP,3,05/09/2022 12:00:00 AM
2022-05-14T08-49-14,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,97,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,71832,De Queen Health and Wellness,NLP,NLP,NLP,90,05/13/2022 12:00:00 AM
