2022-02-18T16-04-21,15122,Primary Care PHCY SVCS - West Miffl,02/16/2022 12:00:00 AM,,25,,
2022-06-20T04-15-58,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-22T04-15-20,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-22T04-15-20,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,22,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,22,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-24T04-15-26,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,22,06/21/2022 12:00:00 AM
2022-06-25T04-15-18,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,22,06/21/2022 12:00:00 AM
2022-06-25T04-15-18,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,22,06/21/2022 12:00:00 AM
2022-06-27T04-15-31,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,15,06/26/2022 12:00:00 AM
2022-06-28T04-15-44,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-06-28T04-15-44,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,15,06/26/2022 12:00:00 AM
2022-06-28T04-15-44,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,15,06/26/2022 12:00:00 AM
2022-06-30T04-15-32,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-01T04-15-22,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-06T04-15-19,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-08T04-15-19,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-12T04-15-22,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/14/2022 12:00:00 AM
2022-07-15T04-15-46,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,15122,Polaris Pharmacy Services of PA,NLP,NLP,NLP,5,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,15122,POLARIS PHARMACY SERVICES OF PA,NLP,NLP,NLP,5,07/14/2022 12:00:00 AM
