2022-02-18T16-04-21,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,02/18/2022 12:00:00 AM,,10,,
2022-04-19T05-39-24,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,19,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,18,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,18,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,18,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,56258,AVERA MARSHALL REGIONAL MEDICAL CEN,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
