2022-02-18T16-04-21,21287,JOHNS HOPKINS HOSPITAL,02/17/2022 12:00:00 AM,,15,,
2022-04-23T05-25-10,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,123,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,123,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,123,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,132,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,131,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,130,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,126,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,126,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,126,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,126,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,112,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,110,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,110,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,100,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,98,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,98,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,98,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,183,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,175,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,175,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,161,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,154,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,154,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,154,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,132,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,132,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,115,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,115,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,107,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,81,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,67,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,67,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,67,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,101,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,91,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,91,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,91,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,91,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,59,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,59,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,59,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,46,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,46,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,46,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,87,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,87,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,72,06/09/2022 12:00:00 AM
2022-06-10T04-15-36,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,156,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,156,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,156,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,156,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,127,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,124,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,124,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,106,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,106,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,106,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,106,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,88,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,88,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,88,06/20/2022 12:00:00 AM
2022-06-24T04-15-26,21287,JOHNS HOPKINS HOSPITAL,NLP,NLP,NLP,125,06/23/2022 12:00:00 AM
