2022-02-18T16-04-21,15102,SPARTAN PHARMACY BETHEL PARK,02/16/2022 12:00:00 AM,,50,,
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
