2022-03-08T14-40-56,92227,PIONEERS MEMORIAL HEALTHCARE DISTRI,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,10,,
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-24T05-46-03,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-06-24T04-15-26,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-06-28T04-15-44,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-06-29T04-15-40,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-06-30T04-15-32,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-01T04-15-22,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-03T14-40-38,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-04T04-15-29,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-05T04-15-18,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-06T04-15-19,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-07T04-15-17,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-07T13-15-18,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-08T04-15-19,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-09T04-15-19,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-10T04-15-26,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-11T04-15-25,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
2022-07-12T04-15-22,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,6,06/23/2022 12:00:00 AM
