2022-02-18T16-04-21,70438,RIVERSIDE MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,5,02/16/2022 12:00:00 AM
2022-04-22T05-26-18,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-05-21T05-54-21,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-28T05-34-18,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-29T05-31-58,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-30T05-32-42,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-31T08-56-01,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-06-01T05-37-50,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-05T08-48-25,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-06T06-32-51,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-07T05-36-41,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-08T05-42-02,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-12T04-15-15,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-13T04-15-40,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-14T04-15-16,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-15T04-15-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-16T04-15-45,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-17T04-15-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-18T04-15-18,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-19T04-15-29,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-20T04-15-58,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-21T04-15-35,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,9,06/07/2022 12:00:00 AM
2022-06-28T04-15-44,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-07-04T04-15-29,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-07-05T04-15-18,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-07-06T04-15-19,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
