2022-02-18T16-04-21,30122,"Wellstar Health System, Inc",02/17/2022 12:00:00 AM,,50,,
2022-05-15T05-54-13,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-19T05-25-31,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-20T05-59-40,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-21T05-54-21,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-22T09-07-10,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-26T07-59-29,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-26T07-59-29,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-26T07-59-29,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1064,05/13/2022 12:00:00 AM
2022-05-27T05-48-57,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,984,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,984,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,984,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,984,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,984,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,884,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,884,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,884,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,884,05/31/2022 12:00:00 AM
2022-06-05T08-48-25,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,884,05/31/2022 12:00:00 AM
2022-06-06T06-32-51,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,884,05/31/2022 12:00:00 AM
2022-06-07T05-36-41,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,884,05/31/2022 12:00:00 AM
2022-06-08T05-42-02,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-12T04-15-15,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-13T04-15-40,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-14T04-15-16,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-15T04-15-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
2022-06-16T04-15-45,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,934,06/07/2022 12:00:00 AM
