2022-03-08T14-40-56,80033,The IV Den,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,200,,
2022-04-12T07-06-55,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-13T09-20-57,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-13T11-55-39,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-13T11-55-39,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-14T09-18-06,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-15T06-03-51,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-17T05-32-24,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-18T05-31-10,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-19T05-39-24,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-20T05-27-37,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-21T05-29-54,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,4,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-22T05-26-18,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,2,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-23T05-25-10,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,2,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-24T05-22-24,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,2,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-25T05-22-33,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-25T05-22-33,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,2,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,11,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-27T05-23-49,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-27T05-23-49,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,11,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,10,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-29T05-13-54,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-30T05-15-55,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-05-01T05-13-51,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-05-02T06-02-50,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,05/02/2022 12:00:00 AM
2022-05-02T06-02-50,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-05-03T06-05-23,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
