2022-02-18T16-04-21,36607,MOBILE INFIRMARY MEDICAL CENTER,02/15/2022 12:00:00 AM,,10,,
2022-05-16T05-54-24,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,94,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,94,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,94,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,94,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,94,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,91,05/23/2022 12:00:00 AM
