2022-02-18T16-04-21,36251,CLAY COUNTY HOSPITAL AND NURSING HO,02/15/2022 12:00:00 AM,,5,,
2022-04-24T05-22-24,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-25T05-22-33,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,24,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,24,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,22,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,22,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,21,05/14/2022 12:00:00 AM
2022-05-15T05-54-13,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,21,05/14/2022 12:00:00 AM
2022-05-16T05-54-24,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,21,05/15/2022 12:00:00 AM
2022-05-17T05-27-38,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,18,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,18,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,33,05/24/2022 12:00:00 AM
