2022-02-18T16-04-21,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,02/14/2022 12:00:00 AM,,5,0,02/17/2022 12:00:00 AM
2022-05-11T06-51-12,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-12T07-16-49,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-13T06-07-31,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-14T08-49-14,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-15T05-54-13,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-16T05-54-24,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-17T05-27-38,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-18T05-40-23,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,05/17/2022 12:00:00 AM
2022-05-26T07-59-29,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-05-28T05-34-18,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-05-29T05-31-58,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-05-30T05-32-42,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-05-31T08-56-01,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-01T05-37-50,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-02T07-54-10,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-03T08-50-11,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-04T19-11-08,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-05T08-48-25,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-06T06-32-51,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-07T05-36-41,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-08T05-42-02,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-09T04-15-20,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-10T04-15-36,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-11T04-15-14,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-12T04-15-15,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-13T04-15-40,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-14T04-15-16,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-15T04-15-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-16T04-15-45,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-17T04-15-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-18T04-15-18,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-19T04-15-29,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-20T04-15-58,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-21T04-15-35,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-22T04-15-20,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-23T04-15-16,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-24T04-15-26,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-25T04-15-18,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
2022-06-26T04-15-17,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,10,05/25/2022 12:00:00 AM
