2022-02-18T16-04-21,89109,mAb Infusion Center- ABML-IEMH,02/14/2022 12:00:00 AM,,220,,
2022-04-03T05-51-54,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,441,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,441,04/02/2022 12:00:00 AM
2022-04-05T05-48-33,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,441,04/02/2022 12:00:00 AM
2022-04-06T05-45-18,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,438,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,432,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,422,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,422,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,422,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,419,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,414,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,408,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,408,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,401,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,401,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,398,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,398,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,398,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-25T05-22-33,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-26T05-20-54,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,376,04/19/2022 12:00:00 AM
2022-04-27T05-23-49,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,339,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,339,04/26/2022 12:00:00 AM
