2022-02-18T16-04-21,25901,PLATEAU MEDICAL CENTER,02/15/2022 12:00:00 AM,,10,,
2022-05-30T05-32-42,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-31T08-56-01,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-01T05-37-50,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-02T07-54-10,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-03T08-50-11,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-04T19-11-08,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-05T08-48-25,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-06T06-32-51,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-07T05-36-41,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-08T05-42-02,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-09T04-15-20,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-06-10T04-15-36,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,29,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,29,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,29,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,29,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,29,06/09/2022 12:00:00 AM
2022-06-15T04-15-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,29,06/09/2022 12:00:00 AM
2022-06-16T04-15-45,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-18T04-15-18,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-19T04-15-29,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-20T04-15-58,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-21T04-15-35,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-22T04-15-20,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-23T04-15-16,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-24T04-15-26,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-25T04-15-18,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-26T04-15-17,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-27T04-15-31,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-28T04-15-44,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,28,06/15/2022 12:00:00 AM
2022-06-29T04-15-40,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
2022-07-01T04-15-22,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
2022-07-03T14-40-38,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
2022-07-04T04-15-29,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
2022-07-05T04-15-18,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
2022-07-06T04-15-19,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
2022-07-07T04-15-17,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,24,06/28/2022 12:00:00 AM
