2022-02-18T16-04-21,73160,MOORE CARE,02/17/2022 12:00:00 AM,,100,,
2022-03-28T06-21-17,73160,MOORE CARE,NLP,NLP,NLP,887,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,73160,MOORE CARE,NLP,NLP,NLP,887,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,73160,MOORE CARE,NLP,NLP,NLP,885,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,73160,MOORE CARE,NLP,NLP,NLP,885,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,73160,MOORE CARE,NLP,NLP,NLP,885,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,73160,MOORE CARE,NLP,NLP,NLP,883,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-13T09-20-57,73160,MOORE CARE,NLP,NLP,NLP,875,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,73160,MOORE CARE,NLP,NLP,NLP,875,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,73160,MOORE CARE,NLP,NLP,NLP,872,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,73160,MOORE CARE,NLP,NLP,NLP,872,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,73160,MOORE CARE,NLP,NLP,NLP,872,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,73160,MOORE CARE,NLP,NLP,NLP,872,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,73160,MOORE CARE,NLP,NLP,NLP,872,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,73160,MOORE CARE,NLP,NLP,NLP,872,04/13/2022 12:00:00 AM
2022-04-20T05-27-37,73160,MOORE CARE,NLP,NLP,NLP,866,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,73160,MOORE CARE,NLP,NLP,NLP,866,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,73160,MOORE CARE,NLP,NLP,NLP,833,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,73160,MOORE CARE,NLP,NLP,NLP,833,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,73160,MOORE CARE,NLP,NLP,NLP,833,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,73160,MOORE CARE,NLP,NLP,NLP,833,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,73160,MOORE CARE,NLP,NLP,NLP,833,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,73160,MOORE CARE,NLP,NLP,NLP,833,04/22/2022 12:00:00 AM
2022-04-28T09-22-45,73160,MOORE CARE,NLP,NLP,NLP,1118,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,73160,MOORE CARE,NLP,NLP,NLP,1116,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,73160,MOORE CARE,NLP,NLP,NLP,1115,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,73160,MOORE CARE,NLP,NLP,NLP,1115,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,73160,MOORE CARE,NLP,NLP,NLP,1115,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,73160,MOORE CARE,NLP,NLP,NLP,1115,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,73160,MOORE CARE,NLP,NLP,NLP,1107,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,73160,MOORE CARE,NLP,NLP,NLP,1098,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,73160,MOORE CARE,NLP,NLP,NLP,1144,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,73160,MOORE CARE,NLP,NLP,NLP,1138,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,73160,MOORE CARE,NLP,NLP,NLP,1138,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,73160,MOORE CARE,NLP,NLP,NLP,1138,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,73160,MOORE CARE,NLP,NLP,NLP,1135,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,73160,MOORE CARE,NLP,NLP,NLP,1131,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,73160,MOORE CARE,NLP,NLP,NLP,1127,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,73160,MOORE CARE,NLP,NLP,NLP,1127,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,73160,MOORE CARE,NLP,NLP,NLP,1121,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,73160,MOORE CARE,NLP,NLP,NLP,1121,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,73160,MOORE CARE,NLP,NLP,NLP,1121,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,73160,MOORE CARE,NLP,NLP,NLP,1114,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,73160,MOORE CARE,NLP,NLP,NLP,1109,05/17/2022 12:00:00 AM
