2022-02-18T16-04-21,35801,TRINITY MEDICAL CENTER,02/16/2022 12:00:00 AM,,5,0,02/16/2022 12:00:00 AM
2022-05-18T05-40-23,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,167,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-19T05-25-31,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,160,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-20T05-59-40,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,160,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-21T05-54-21,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-22T09-07-10,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-23T07-42-39,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,153,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-24T05-46-03,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,145,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
