2022-02-18T16-04-21,48146,GET WELL URGENT CARE DOWNRIVER,02/17/2022 12:00:00 AM,,25,,
2022-05-14T08-49-14,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-15T05-54-13,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-16T05-54-24,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-17T05-27-38,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-18T05-40-23,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-19T05-25-31,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-20T05-59-40,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-21T05-54-21,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-22T09-07-10,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-23T07-42-39,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-24T05-46-03,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-25T05-39-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-26T07-59-29,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-26T07-59-29,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-26T07-59-29,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-27T05-48-57,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-28T05-34-18,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-29T05-31-58,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-30T05-32-42,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-31T08-56-01,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-01T05-37-50,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-02T07-54-10,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-03T08-50-11,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-04T19-11-08,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-05T08-48-25,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-06T06-32-51,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-07T05-36-41,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-08T05-42-02,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-09T04-15-20,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-10T04-15-36,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-11T04-15-14,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-12T04-15-15,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-13T04-15-40,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-14T04-15-16,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-15T04-15-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-16T04-15-45,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-17T04-15-27,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-18T04-15-18,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-19T04-15-29,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-20T04-15-58,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-21T04-15-35,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-22T04-15-20,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-23T04-15-16,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-24T04-15-26,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-25T04-15-18,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-26T04-15-17,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-27T04-15-31,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-28T04-15-44,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-29T04-15-40,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-06-30T04-15-32,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-01T04-15-22,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-03T14-40-38,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-04T04-15-29,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-05T04-15-18,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-06T04-15-19,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-07T04-15-17,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-07T13-15-18,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-08T04-15-19,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-09T04-15-19,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-10T04-15-26,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-11T04-15-25,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-12T04-15-22,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-13T04-15-22,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-14T04-15-29,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-15T04-15-46,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-17T04-15-18,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-18T04-15-21,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-18T07-55-19,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-19T04-15-25,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-20T04-15-41,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-21T04-15-40,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-07-22T04-15-29,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
