2022-02-18T16-04-21,66749,ALLEN COUNTY HOSPITAL,02/14/2022 12:00:00 AM,,5,5,02/17/2022 12:00:00 AM
2022-03-24T07-49-11,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-18T05-31-10,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-19T05-39-24,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-20T05-27-37,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,05/02/2022 12:00:00 AM
2022-05-06T06-12-41,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,14,05/06/2022 12:00:00 AM
