2022-03-08T14-40-56,97386,Ridgeway Health,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,15,,
2022-05-16T05-54-24,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-17T05-27-38,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-18T05-40-23,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-19T05-25-31,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-20T05-59-40,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-21T05-54-21,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-22T09-07-10,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-23T07-42-39,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,0,03/12/2022 12:00:00 AM
2022-05-28T05-34-18,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-06-02T07-54-10,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-06-03T08-50-11,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-06-04T19-11-08,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
2022-06-05T08-48-25,97386,RIDGEWAY HEALTH,NLP,NLP,NLP,22,05/27/2022 12:00:00 AM
