2022-02-18T16-04-21,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,02/18/2022 12:00:00 AM,,30,0,02/18/2022 12:00:00 AM
2022-03-26T06-57-27,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,123,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,123,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,123,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,116,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,116,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,111,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,111,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,108,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,108,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,108,04/08/2022 12:00:00 AM
