2022-02-18T16-04-21,26241,DAVIS MEDICAL CENTER - ELKINS,02/16/2022 12:00:00 AM,,10,,
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-27T05-48-57,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-28T05-34-18,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-29T05-31-58,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-30T05-32-42,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-31T08-56-01,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-06-01T05-37-50,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-06-02T07-54-10,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-06-03T08-50-11,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-06-04T19-11-08,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
