2022-02-18T16-04-21,72834,DARDANELLE MEDREG CV19-1,02/16/2022 12:00:00 AM,,20,,
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-24T05-46-03,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
2022-05-25T05-39-27,72834,DARDANELLE MEDREG CV19-1,NLP,NLP,NLP,38,05/22/2022 12:00:00 AM
