2022-02-18T16-04-21,33157,JACKSON SOUTH COMMUNITY HOSP,02/17/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-04-12T07-06-55,33157,Jackson South Community Hospital,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,33157,Jackson South Community Hospital,NLP,NLP,NLP,22,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,22,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,33157,Jackson South Community Hospital,NLP,NLP,NLP,22,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,33157,Jackson South Community Hospital,NLP,NLP,NLP,21,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,33157,Jackson South Community Hospital,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33157,Jackson South Community Hospital,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33157,Jackson South Community Hospital,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,33157,Jackson South Community Hospital,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33157,Jackson South Community Hospital,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,33157,Jackson South Community Hospital,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,33157,Jackson South Community Hospital,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,33157,Jackson South Community Hospital,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,33157,Jackson South Community Hospital,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,33157,Jackson South Community Hospital,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,33157,Jackson South Community Hospital,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,33157,Jackson South Community Hospital,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,33157,Jackson South Community Hospital,NLP,NLP,NLP,17,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,33157,Jackson South Community Hospital,NLP,NLP,NLP,16,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,33157,Jackson South Community Hospital,NLP,NLP,NLP,16,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,33157,Jackson South Community Hospital,NLP,NLP,NLP,16,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,33157,Jackson South Community Hospital,NLP,NLP,NLP,16,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,33157,Jackson South Community Hospital,NLP,NLP,NLP,16,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33157,Vida Therapy; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,33157,Vida Therapy; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,33157,Vida Therapy; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-15T05-54-13,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,33157,Vida Therapy; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,33157,Vida Therapy; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,33157,Vida Therapy; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-18T05-40-23,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,33157,Vida Therapy; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-19T05-25-31,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,33157,Jackson South Community Hospital,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,33157,Jackson South Community Hospital,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
