2022-03-08T14-40-56,81401,MONTROSE REGIONAL HEALTH,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-27T05-48-57,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-28T05-34-18,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-29T05-31-58,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-30T05-32-42,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-05-31T08-56-01,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-06-01T05-37-50,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-06-02T07-54-10,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-06-03T08-50-11,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
2022-06-04T19-11-08,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/03/2022 12:00:00 AM
2022-06-08T05-42-02,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-12T04-15-15,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-13T04-15-40,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-14T04-15-16,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-15T04-15-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-16T04-15-45,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-17T04-15-27,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-18T04-15-18,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-19T04-15-29,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-20T04-15-58,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-21T04-15-35,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-22T04-15-20,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-23T04-15-16,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-24T04-15-26,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-25T04-15-18,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-06-26T04-15-17,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,06/12/2022 12:00:00 AM
2022-07-01T04-15-22,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-03T14-40-38,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-05T04-15-18,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-06T04-15-19,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-07T04-15-17,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-07T13-15-18,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-08T04-15-19,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-09T04-15-19,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-10T04-15-26,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-11T04-15-25,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/01/2022 12:00:00 AM
2022-07-12T04-15-22,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-17T04-15-18,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-18T04-15-21,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
2022-07-18T07-55-19,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,07/11/2022 12:00:00 AM
