2022-02-18T16-04-21,36278,TANNER MEDICAL CENTER EAST ALABAMA,02/15/2022 12:00:00 AM,,10,,
2022-04-30T05-15-55,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-06T06-12-41,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-07T05-45-31,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-08T10-02-59,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-09T05-08-14,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-10T06-06-54,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-11T06-51-12,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-05-12T07-16-49,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,04/28/2022 12:00:00 AM
2022-06-04T19-11-08,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-08T05-42-02,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-09T04-15-20,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-10T04-15-36,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-11T04-15-14,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-12T04-15-15,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-13T04-15-40,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-14T04-15-16,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-15T04-15-27,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-16T04-15-45,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
