2022-02-18T16-04-21,32117,HOLLY HILL PHARMACY,02/18/2022 12:00:00 AM,,25,,
2022-04-03T05-51-54,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-04T05-38-24,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-05T05-48-33,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-06T05-45-18,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-07T05-34-07,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-08T05-48-29,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-09T05-41-09,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-10T09-31-27,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-11T07-06-23,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-12T07-06-55,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-13T09-20-57,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-13T11-55-39,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-14T09-18-06,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-15T06-03-51,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-16T05-33-42,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-17T05-32-24,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-18T05-31-10,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-19T05-39-24,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-20T05-27-37,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-21T05-29-54,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-22T05-26-18,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-23T05-25-10,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-24T05-22-24,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-25T05-22-33,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-26T05-20-54,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-27T05-23-49,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-28T09-22-45,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-29T05-13-54,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-04-30T05-15-55,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-01T05-13-51,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-02T06-02-50,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-03T06-05-23,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-04T05-12-02,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-05T09-49-47,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-06T06-12-41,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-07T05-45-31,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-08T10-02-59,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-09T05-08-14,32117,Holly Hill Pharmacy,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-05-11T06-51-12,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-12T07-16-49,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-13T06-07-31,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-14T08-49-14,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-15T05-54-13,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-16T05-54-24,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-17T05-27-38,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-18T05-40-23,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-19T05-25-31,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-20T05-59-40,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-21T05-54-21,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-22T09-07-10,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-23T07-42-39,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
2022-05-24T05-46-03,32117,AdventHealth Daytona Beach,NLP,NLP,NLP,0,04/18/2022 12:00:00 AM
