2022-02-18T16-04-21,12866,SARATOGA HOSPITAL,02/17/2022 12:00:00 AM,,15,,
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-24T05-46-03,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
