2022-02-18T16-04-21,88011,MEMORIAL MEDICAL HOSPITAL,02/17/2022 12:00:00 AM,,20,0,02/17/2022 12:00:00 AM
2022-03-26T12-42-50,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-07T05-34-07,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-14T09-18-06,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-15T06-03-51,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-16T05-33-42,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-21T05-29-54,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-22T05-26-18,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-23T05-25-10,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,33,04/22/2022 12:00:00 AM
