2022-02-18T16-04-21,96799,LBJ TROPICAL MEDICAL CENTER,02/15/2022 12:00:00 AM,,90,,
2022-04-08T05-48-29,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,96799,Leone Community Health Center,NLP,NLP,NLP,11,04/08/2022 12:00:00 AM
2022-04-08T05-48-29,96799,Tafuna Community Health Center,NLP,NLP,NLP,7,04/08/2022 12:00:00 AM
2022-04-08T05-48-29,96799,Amouli Community Health Center,NLP,NLP,NLP,16,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,67,04/09/2022 12:00:00 AM
2022-04-09T05-41-09,96799,Tafuna Community Health Center,NLP,NLP,NLP,7,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,96799,Amouli Community Health Center,NLP,NLP,NLP,14,04/09/2022 12:00:00 AM
2022-04-09T05-41-09,96799,Leone Community Health Center,NLP,NLP,NLP,9,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,66,04/10/2022 12:00:00 AM
2022-04-10T09-31-27,96799,Amouli Community Health Center,NLP,NLP,NLP,14,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,96799,Tafuna Community Health Center,NLP,NLP,NLP,13,04/10/2022 12:00:00 AM
2022-04-10T09-31-27,96799,Leone Community Health Center,NLP,NLP,NLP,9,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,66,04/11/2022 12:00:00 AM
2022-04-11T07-06-23,96799,Amouli Community Health Center,NLP,NLP,NLP,14,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,96799,Tafuna Community Health Center,NLP,NLP,NLP,13,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,96799,Leone Community Health Center,NLP,NLP,NLP,9,04/09/2022 12:00:00 AM
2022-04-12T07-06-55,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,65,04/12/2022 12:00:00 AM
2022-04-12T07-06-55,96799,Leone Community Health Center,NLP,NLP,NLP,9,04/09/2022 12:00:00 AM
2022-04-12T07-06-55,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,96799,Tafuna Community Health Center,NLP,NLP,NLP,11,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,65,04/13/2022 12:00:00 AM
2022-04-13T09-20-57,96799,Leone Community Health Center,NLP,NLP,NLP,9,04/09/2022 12:00:00 AM
2022-04-13T09-20-57,96799,Tafuna Community Health Center,NLP,NLP,NLP,8,04/13/2022 12:00:00 AM
2022-04-13T09-20-57,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/13/2022 12:00:00 AM
2022-04-13T09-20-57,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-13T11-55-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,65,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,96799,Leone Community Health Center,NLP,NLP,NLP,9,04/09/2022 12:00:00 AM
2022-04-13T11-55-39,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,96799,Tafuna Community Health Center,NLP,NLP,NLP,8,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-14T09-18-06,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,65,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,96799,Leone Community Health Center,NLP,NLP,NLP,9,04/09/2022 12:00:00 AM
2022-04-14T09-18-06,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-14T09-18-06,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-14T09-18-06,96799,Tafuna Community Health Center,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,64,04/15/2022 12:00:00 AM
2022-04-15T06-03-51,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-15T06-03-51,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-15T06-03-51,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,96799,Tafuna Community Health Center,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,64,04/16/2022 12:00:00 AM
2022-04-16T05-33-42,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,96799,Tafuna Community Health Center,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-16T05-33-42,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,64,04/17/2022 12:00:00 AM
2022-04-17T05-32-24,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,96799,Tafuna Community Health Center,NLP,NLP,NLP,16,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-17T05-32-24,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,64,04/18/2022 12:00:00 AM
2022-04-18T05-31-10,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-18T05-31-10,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,96799,Tafuna Community Health Center,NLP,NLP,NLP,16,04/16/2022 12:00:00 AM
2022-04-19T05-39-24,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,64,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-19T05-39-24,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,96799,Tafuna Community Health Center,NLP,NLP,NLP,16,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,64,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,96799,Tafuna Community Health Center,NLP,NLP,NLP,13,04/20/2022 12:00:00 AM
2022-04-20T05-27-37,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-20T05-27-37,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/20/2022 12:00:00 AM
2022-04-20T05-27-37,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-21T05-29-54,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/21/2022 12:00:00 AM
2022-04-21T05-29-54,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,96799,Tafuna Community Health Center,NLP,NLP,NLP,12,04/21/2022 12:00:00 AM
2022-04-21T05-29-54,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-22T05-26-18,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/22/2022 12:00:00 AM
2022-04-22T05-26-18,96799,Tafuna Community Health Center,NLP,NLP,NLP,12,04/22/2022 12:00:00 AM
2022-04-22T05-26-18,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,96799,Leone Community Health Center,NLP,NLP,NLP,15,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-23T05-25-10,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/23/2022 12:00:00 AM
2022-04-23T05-25-10,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,96799,Tafuna Community Health Center,NLP,NLP,NLP,8,04/23/2022 12:00:00 AM
2022-04-23T05-25-10,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-24T05-22-24,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/24/2022 12:00:00 AM
2022-04-24T05-22-24,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,04/24/2022 12:00:00 AM
2022-04-24T05-22-24,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-24T05-22-24,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-24T05-22-24,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/25/2022 12:00:00 AM
2022-04-25T05-22-33,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-25T05-22-33,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-25T05-22-33,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/26/2022 12:00:00 AM
2022-04-26T05-20-54,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-26T05-20-54,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,04/26/2022 12:00:00 AM
2022-04-26T05-20-54,96799,AMERICAN SAMOA DEPT OF HEALTH,NLP,NLP,NLP,146,04/05/2022 12:00:00 AM
2022-04-26T05-20-54,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/27/2022 12:00:00 AM
2022-04-27T05-23-49,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/27/2022 12:00:00 AM
2022-04-27T05-23-49,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,96799,Amouli Community Health Center,NLP,NLP,NLP,12,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,96799,Tafuna Community Health Center,NLP,NLP,NLP,5,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-04-29T05-13-54,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/29/2022 12:00:00 AM
2022-04-29T05-13-54,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,96799,Tafuna Community Health Center,NLP,NLP,NLP,5,04/29/2022 12:00:00 AM
2022-04-29T05-13-54,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-04-30T05-15-55,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,04/30/2022 12:00:00 AM
2022-04-30T05-15-55,96799,Tafuna Community Health Center,NLP,NLP,NLP,5,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-05-01T05-13-51,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,05/01/2022 12:00:00 AM
2022-05-01T05-13-51,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,96799,Tafuna Community Health Center,NLP,NLP,NLP,5,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-05-02T06-02-50,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,05/02/2022 12:00:00 AM
2022-05-02T06-02-50,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,96799,Tafuna Community Health Center,NLP,NLP,NLP,3,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-05-03T06-05-23,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,05/03/2022 12:00:00 AM
2022-05-03T06-05-23,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,96799,Tafuna Community Health Center,NLP,NLP,NLP,3,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-05-04T05-12-02,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,05/04/2022 12:00:00 AM
2022-05-04T05-12-02,96799,Tafuna Community Health Center,NLP,NLP,NLP,8,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-05-05T09-49-47,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,05/05/2022 12:00:00 AM
2022-05-05T09-49-47,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-05T09-49-47,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-05-06T06-12-41,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,05/06/2022 12:00:00 AM
2022-05-06T06-12-41,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,96799,Leone Community Health Center,NLP,NLP,NLP,13,04/22/2022 12:00:00 AM
2022-05-07T05-45-31,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,63,05/07/2022 12:00:00 AM
2022-05-07T05-45-31,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-08T10-02-59,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,62,05/08/2022 12:00:00 AM
2022-05-08T10-02-59,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-09T05-08-14,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/09/2022 12:00:00 AM
2022-05-09T05-08-14,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,96799,Amouli Community Health Center,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-10T06-06-54,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/10/2022 12:00:00 AM
2022-05-10T06-06-54,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,96799,Amouli Community Health Center,NLP,NLP,NLP,10,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/11/2022 12:00:00 AM
2022-05-11T06-51-12,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-11T06-51-12,96799,Amouli Community Health Center,NLP,NLP,NLP,10,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/12/2022 12:00:00 AM
2022-05-12T07-16-49,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/12/2022 12:00:00 AM
2022-05-12T07-16-49,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-13T06-07-31,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/13/2022 12:00:00 AM
2022-05-13T06-07-31,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-13T06-07-31,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/14/2022 12:00:00 AM
2022-05-14T08-49-14,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-15T05-54-13,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/15/2022 12:00:00 AM
2022-05-15T05-54-13,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-16T05-54-24,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/16/2022 12:00:00 AM
2022-05-16T05-54-24,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-17T05-27-38,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/17/2022 12:00:00 AM
2022-05-17T05-27-38,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-18T05-40-23,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/18/2022 12:00:00 AM
2022-05-18T05-40-23,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-19T05-25-31,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/19/2022 12:00:00 AM
2022-05-19T05-25-31,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-20T05-59-40,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,60,05/19/2022 12:00:00 AM
2022-05-20T05-59-40,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,96799,Tafuna Community Health Center,NLP,NLP,NLP,6,05/05/2022 12:00:00 AM
2022-05-21T05-54-21,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/21/2022 12:00:00 AM
2022-05-21T05-54-21,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/22/2022 12:00:00 AM
2022-05-22T09-07-10,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
