2022-02-18T16-04-21,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-22T09-16-18,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,110,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,110,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,110,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,110,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,109,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,109,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,109,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,109,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,149,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,149,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,149,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,149,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,149,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,149,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,148,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,146,04/21/2022 12:00:00 AM
