2022-02-18T16-04-21,32446,JACKSON HOSPITAL,02/17/2022 12:00:00 AM,,25,0,02/16/2022 12:00:00 AM
2022-04-13T11-55-39,32446,Jackson Hospital,NLP,NLP,NLP,76,04/08/2022 12:00:00 AM
2022-04-14T09-18-06,32446,Jackson Hospital,NLP,NLP,NLP,76,04/08/2022 12:00:00 AM
2022-04-15T06-03-51,32446,Jackson Hospital,NLP,NLP,NLP,76,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,32446,Jackson Hospital,NLP,NLP,NLP,76,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,32446,Jackson Hospital,NLP,NLP,NLP,76,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,32446,Jackson Hospital,NLP,NLP,NLP,76,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,32446,Jackson Hospital,NLP,NLP,NLP,76,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,32446,Jackson Hospital,NLP,NLP,NLP,75,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,32446,Jackson Hospital,NLP,NLP,NLP,75,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,32446,Jackson Hospital,NLP,NLP,NLP,75,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,32446,Jackson Hospital,NLP,NLP,NLP,75,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,32446,Jackson Hospital,NLP,NLP,NLP,75,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,32446,Jackson Hospital,NLP,NLP,NLP,75,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,32446,Jackson Hospital,NLP,NLP,NLP,70,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,32446,Jackson Hospital,NLP,NLP,NLP,68,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,32446,Jackson Hospital,NLP,NLP,NLP,67,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,32446,Jackson Hospital,NLP,NLP,NLP,66,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,32446,Jackson Hospital,NLP,NLP,NLP,66,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,32446,Jackson Hospital,NLP,NLP,NLP,66,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,32446,Jackson Hospital,NLP,NLP,NLP,66,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,32446,Jackson Hospital,NLP,NLP,NLP,66,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,32446,Jackson Hospital,NLP,NLP,NLP,63,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,32446,Jackson Hospital,NLP,NLP,NLP,113,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,32446,Jackson Hospital,NLP,NLP,NLP,112,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,32446,Jackson Hospital,NLP,NLP,NLP,112,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,32446,Jackson Hospital,NLP,NLP,NLP,112,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,32446,Jackson Hospital,NLP,NLP,NLP,112,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,32446,Jackson Hospital,NLP,NLP,NLP,107,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,32446,Jackson Hospital,NLP,NLP,NLP,107,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,32446,Jackson Hospital,NLP,NLP,NLP,107,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,32446,Jackson Hospital,NLP,NLP,NLP,107,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,32446,Jackson Hospital,NLP,NLP,NLP,104,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,32446,Jackson Hospital,NLP,NLP,NLP,104,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,32446,Jackson Hospital,NLP,NLP,NLP,104,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,32446,Jackson Hospital,NLP,NLP,NLP,104,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,32446,Jackson Hospital,NLP,NLP,NLP,103,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,32446,Jackson Hospital,NLP,NLP,NLP,103,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,32446,Jackson Hospital,NLP,NLP,NLP,103,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32446,Jackson Hospital,NLP,NLP,NLP,102,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32446,Jackson Hospital,NLP,NLP,NLP,100,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,32446,Jackson Hospital,NLP,NLP,NLP,99,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32446,Jackson Hospital,NLP,NLP,NLP,99,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32446,Jackson Hospital,NLP,NLP,NLP,99,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32446,Jackson Hospital,NLP,NLP,NLP,99,05/24/2022 12:00:00 AM
