2022-02-18T16-04-21,70433,ST. TAMMANY PARISH HOSPITAL,02/14/2022 12:00:00 AM,,15,,
2022-05-16T05-54-24,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,22,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,11,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,12,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,12,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,4,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,30,05/24/2022 12:00:00 AM
