2022-02-18T16-04-21,43210,OSU - OSU WEXNER MEDICAL CTR,02/16/2022 12:00:00 AM,,50,,02/18/2022 12:00:00 AM
2022-04-28T09-22-45,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
2022-05-02T06-02-50,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
2022-05-03T06-05-23,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
2022-05-04T05-12-02,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
2022-05-05T09-49-47,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,876,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,856,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,840,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,840,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,840,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,812,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,802,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,862,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,850,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,831,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,831,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,831,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,955,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,939,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,928,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,928,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,884,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,843,05/23/2022 12:00:00 AM
