2022-02-18T16-04-21,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-05-21T05-54-21,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-22T09-07-10,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-23T07-42-39,26624,BRAXTON COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
