2022-02-18T16-04-21,57701,MONUMENT HEALTH RCH PHARMACY,02/14/2022 12:00:00 AM,,30,,
2022-04-26T05-20-54,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-27T05-23-49,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-28T09-22-45,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-29T05-13-54,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-30T05-15-55,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-01T05-13-51,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-02T06-02-50,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-03T06-05-23,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-04T05-12-02,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-05T09-49-47,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-06T06-12-41,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-07T05-45-31,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-08T10-02-59,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-09T05-08-14,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-10T06-06-54,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-11T06-51-12,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-12T07-16-49,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-13T06-07-31,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-14T08-49-14,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-15T05-54-13,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-16T05-54-24,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-17T05-27-38,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-18T05-40-23,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-19T05-25-31,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-20T05-59-40,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-21T05-54-21,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-22T09-07-10,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-23T07-42-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-24T05-46-03,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-25T05-39-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-26T07-59-29,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-26T07-59-29,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-26T07-59-29,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-27T05-48-57,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-28T05-34-18,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-29T05-31-58,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-30T05-32-42,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-05-31T08-56-01,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-01T05-37-50,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-02T07-54-10,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-03T08-50-11,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-04T19-11-08,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-05T08-48-25,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-06T06-32-51,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-07T05-36-41,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-08T05-42-02,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-09T04-15-20,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-10T04-15-36,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-11T04-15-14,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-12T04-15-15,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-13T04-15-40,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-14T04-15-16,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-15T04-15-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-16T04-15-45,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-17T04-15-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-18T04-15-18,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-19T04-15-29,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-20T04-15-58,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-21T04-15-35,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-22T04-15-20,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-23T04-15-16,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-24T04-15-26,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-25T04-15-18,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-26T04-15-17,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-06-27T04-15-31,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
