2022-02-18T16-04-21,53210,ASCENSION SE WISCONSIN HOSPITAL,02/16/2022 12:00:00 AM,,5,,
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-25T05-39-27,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-26T07-59-29,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-26T07-59-29,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-26T07-59-29,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-27T05-48-57,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-28T05-34-18,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-29T05-31-58,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-30T05-32-42,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-31T08-56-01,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-01T05-37-50,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-02T07-54-10,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-03T08-50-11,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-04T19-11-08,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-05T08-48-25,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-06T06-32-51,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-07T05-36-41,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-08T05-42-02,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-09T04-15-20,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-10T04-15-36,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-11T04-15-14,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-12T04-15-15,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-06-13T04-15-40,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
