2022-02-18T16-04-21,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,02/14/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-04-28T09-22-45,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/08/2022 12:00:00 AM
2022-05-09T05-08-14,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,25,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,67473,OSBORNE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
