2022-02-18T16-04-21,45429,KHN GRANDVIEW INFUSION CENTER,02/16/2022 12:00:00 AM,,50,,
2022-03-18T11-03-37,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Troy,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Soin Medical Center,NLP,NLP,NLP,42,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Soin Medical Center,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Hamilton,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Hamilton,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Soin Medical Center,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Soin Medical Center,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Soin Medical Center,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Soin Medical Center,NLP,NLP,NLP,39,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Soin Medical Center,NLP,NLP,NLP,39,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Soin Medical Center,NLP,NLP,NLP,39,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Dayton,NLP,NLP,NLP,29,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Dayton,NLP,NLP,NLP,28,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Soin Medical Center,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Soin Medical Center,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45429,Kettering Health Dayton,NLP,NLP,NLP,28,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Dayton,NLP,NLP,NLP,28,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Soin Medical Center,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Dayton,NLP,NLP,NLP,28,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Soin Medical Center,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Dayton,NLP,NLP,NLP,28,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Soin Medical Center,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Preble,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Greene Memorial,NLP,NLP,NLP,14,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Soin Medical Center,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45429,Kettering Health Dayton,NLP,NLP,NLP,28,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Huber,NLP,NLP,NLP,9,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Troy,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Main Campus,NLP,NLP,NLP,38,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Washington Twp,NLP,NLP,NLP,13,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Miamisburg,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Dayton,NLP,NLP,NLP,28,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Piqua,NLP,NLP,NLP,6,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Middletown,NLP,NLP,NLP,8,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Franklin,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,KHN GRANDVIEW INFUSION CENTER,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Kettering Health Hamilton,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,45429,Soin Medical Center,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
