2022-03-08T14-40-56,72455,FIVE RIVERS MED CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,15,15,03/07/2022 12:00:00 AM
2022-04-11T07-06-23,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-13T11-55-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-14T09-18-06,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-15T06-03-51,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-16T05-33-42,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-17T05-32-24,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-18T05-31-10,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-19T05-39-24,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-25T05-22-33,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/19/2022 12:00:00 AM
2022-04-26T05-20-54,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-05-01T05-13-51,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-05-02T06-02-50,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-05-03T06-05-23,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-06T06-12-41,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-07T05-45-31,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-08T10-02-59,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-09T05-08-14,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-10T06-06-54,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-11T06-51-12,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-12T07-16-49,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-13T06-07-31,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-14T08-49-14,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-15T05-54-13,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-16T05-54-24,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-17T05-27-38,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-18T05-40-23,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-19T05-25-31,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-20T05-59-40,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-21T05-54-21,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-22T09-07-10,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-23T07-42-39,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-24T05-46-03,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-25T05-39-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-26T07-59-29,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-26T07-59-29,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-26T07-59-29,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-27T05-48-57,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-28T05-34-18,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-29T05-31-58,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-30T05-32-42,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-05-31T08-56-01,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-06-01T05-37-50,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
2022-06-02T07-54-10,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,80,05/02/2022 12:00:00 AM
