2022-02-18T16-04-21,56352,CENTRACARE CLINIC - MELROSE,02/18/2022 12:00:00 AM,,15,,
2022-04-15T06-03-51,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-12T07-16-49,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-13T06-07-31,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-14T08-49-14,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-15T05-54-13,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-16T05-54-24,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-17T05-27-38,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,05/16/2022 12:00:00 AM
