2022-02-18T16-04-21,25550,PLEASANT VALLEY HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-05-24T05-46-03,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,21,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-28T05-34-18,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-29T05-31-58,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,15,05/28/2022 12:00:00 AM
2022-05-30T05-32-42,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,15,05/28/2022 12:00:00 AM
2022-05-31T08-56-01,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,15,05/28/2022 12:00:00 AM
2022-06-01T05-37-50,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,14,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,11,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,11,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,11,06/01/2022 12:00:00 AM
2022-06-05T08-48-25,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,11,06/01/2022 12:00:00 AM
2022-06-06T06-32-51,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,11,06/01/2022 12:00:00 AM
2022-06-07T05-36-41,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,2,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,2,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,25550,PLEASANT VALLEY HOSPITAL,NLP,NLP,NLP,2,06/06/2022 12:00:00 AM
