2022-02-18T16-04-21,11554,Nassau University Medical Center,02/17/2022 12:00:00 AM,,10,,
2022-04-26T05-20-54,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-04-27T05-23-49,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-04-28T09-22-45,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-04-29T05-13-54,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-04-30T05-15-55,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-01T05-13-51,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-02T06-02-50,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-03T06-05-23,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-04T05-12-02,11554,Nassau University Medical Center,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-05T09-49-47,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-06T06-12-41,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-07T05-45-31,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-08T10-02-59,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-09T05-08-14,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-10T06-06-54,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-11T06-51-12,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-12T07-16-49,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-13T06-07-31,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-14T08-49-14,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-15T05-54-13,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-16T05-54-24,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-17T05-27-38,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-18T05-40-23,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-19T05-25-31,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-20T05-59-40,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-21T05-54-21,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-22T09-07-10,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-23T07-42-39,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-24T05-46-03,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
2022-05-25T05-39-27,11554,NASSAU UNIVERSITY MEDICAL CENTER,NLP,NLP,NLP,25,02/25/2022 12:00:00 AM
