2022-02-18T16-04-21,32547,Emerald Coast Infec. Diseases Med,02/17/2022 12:00:00 AM,,50,,
2022-05-15T05-54-13,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,71,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,71,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,47,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,45,05/17/2022 12:00:00 AM
