2022-02-18T16-04-21,27705,DUKE UNIVERSITY HEALTH SYSTEM,02/16/2022 12:00:00 AM,,100,,
2022-04-22T05-26-18,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,152,04/11/2022 12:00:00 AM
2022-04-23T05-25-10,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,152,04/11/2022 12:00:00 AM
2022-04-24T05-22-24,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,152,04/11/2022 12:00:00 AM
2022-04-25T05-22-33,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,152,04/11/2022 12:00:00 AM
2022-04-26T05-20-54,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-01T05-13-51,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-02T06-02-50,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-03T06-05-23,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-04T05-12-02,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-05T09-49-47,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-06T06-12-41,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-07T05-45-31,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-08T10-02-59,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-09T05-08-14,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-10T06-06-54,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-11T06-51-12,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-12T07-16-49,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-13T06-07-31,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-14T08-49-14,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-15T05-54-13,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-16T05-54-24,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-17T05-27-38,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,211,04/25/2022 12:00:00 AM
2022-05-18T05-40-23,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,94,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,94,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,94,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,50,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-06-02T07-54-10,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,27,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,27,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,102,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,102,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,102,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,102,06/03/2022 12:00:00 AM
2022-06-08T05-42-02,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,102,06/03/2022 12:00:00 AM
2022-06-09T04-15-20,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,102,06/03/2022 12:00:00 AM
2022-06-10T04-15-36,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,102,06/03/2022 12:00:00 AM
2022-06-11T04-15-14,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,114,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,114,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,114,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,114,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,114,06/10/2022 12:00:00 AM
2022-06-16T04-15-45,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,101,06/15/2022 12:00:00 AM
